Titulo,Sinopsis,Año,Duracion(min),Calificacion,Genero,Sonido
El sorprendente Hombre-Araña 2 - La amenaza de Electro,"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone).",2014,141,SAM13,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
La enfermera,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a tener relaciones peligrosas.",2014,83,SAM16,"ERÓTICA, DE TERROR",ESTÉREO
Maria Antonieta La Reina Adolescente,"La historia de Marie-Antoinette, una ingenua austriaca de 14 años que se casó con Luís XVI sin estar preparada para los problemas políticos de ser la Reina de Francia durante la Revolución Francesa.",2006,122,SAM13,DRAMA,SONIDO ENVOLVENTE 5.1
La reina,Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.,2006,103,SAM13,"BIOGRÁFICA, DRAMA",SONIDO ENVOLVENTE 5.1
Los mensajeros,"Una siniestra oscuridad invade una serena granja de girasoles en Dakota del Norte, y la familia Solomon está destrozada por la sospecha, el caos y el asesinato.",2007,90,SAM13,"DRAMA, DE TERROR",ESTÉREO
Se Dice De Mi,"Cuando se descubre su mentirita blanca de que perdió la virginidad, una chica simple de la secundaria (Emma Stone) ve un paralelo con su vida en ""La letra escarlata"" de Hester Prynne, que está estudiando en la escuela, hasta que decide utilizar la usina de rumores para avanzar en su posición social y financiera.",2010,92,SAM13,COMEDIA,SONIDO ENVOLVENTE 5.1
Si no despierto,"Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es sólo otro venturoso día en la vida de Sam hasta que se ve atascada reviviéndolo inexplicablemente durante una semana.",2017,98,SAM13,DRAMA,SONIDO ENVOLVENTE 5.1
Tropa de élite,"Antes de la llegada del Papa a Rio de Janeiro, el Capitán Nascimento de la fuerza BOPE quiere salir de la corporación para dedicarse a enseñar en la academia y poder atender a su esposa embarazada, por lo que debe encontrar un sustituto para su puesto.",2007,115,SAM16,"ACCIÓN, CRIMEN",ESTÉREO
Dredd,"Una prostituta convertida en narcotraficante pretende apoderarse de la futurista ciudad de Mega City One. El juez Dredd, el principal miembro de una fuerza policial de élite, es la última esperanza de la ciudad.",2012,95,SAM16,"ACCIÓN, CIENCIA FICCIÓN",SONIDO ENVOLVENTE 5.1
John Wick 2: Un nuevo día para matar,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.",2017,122,SAM16,ACCIÓN,SONIDO ENVOLVENTE 5.1
Pobres divas,"Nora y Mary Domínguez, dos hermanas que llevan una vida fácil y llena de lujos en Beverly Hills, lo pierden todo cuando su padre muere súbitamente. Las hermanas van a vivir con su tía a Los Ángeles Este, una zona mucho más humilde de la ciudad.",2011,106,SAM13,"ROMÁNTICA, COMEDIA",ESTÉREO
